id,log_date,timestamp,location,dominan,aqi,pm25,pm10,co,no2,so2,o3
67,2025-04-22 15:31:50.022105+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
68,2025-04-22 15:32:50.699978+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
69,2025-04-22 15:33:51.40677+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
70,2025-04-22 15:34:52.114364+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
71,2025-04-22 15:35:52.850048+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
72,2025-04-22 15:36:53.551723+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
73,2025-04-22 15:37:54.246072+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
74,2025-04-22 15:38:54.944248+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
75,2025-04-22 15:39:55.633147+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
76,2025-04-22 15:40:56.339337+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
77,2025-04-22 15:41:57.188681+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
78,2025-04-22 15:42:57.95562+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
79,2025-04-22 15:43:58.686457+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
80,2025-04-22 15:45:00.014091+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
81,2025-04-22 15:46:00.723542+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
82,2025-04-22 15:47:01.825981+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
83,2025-04-22 15:48:02.898956+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
84,2025-04-22 15:49:03.602231+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
85,2025-04-22 15:50:04.27714+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
86,2025-04-22 15:51:05.015607+07,2025-04-22 15:00:00+07,surabaya,pm25,113,113,49,,50,44,80
